 m log_g n_obs baseline sigma_obs threshold TP TP_std dt_yrs
0 0.8 1.5 3.0 0.5 0.1 0.9997 0.26871496 0.017700627 0.5
1 0.8 1.5 3.0 0.5 0.5 0.9997 0.17850536 0.014831719 0.5
2 0.8 1.5 3.0 0.5 1.0 0.9997 0.1283577 0.010434885 0.5
3 0.8 1.5 3.0 1.0 0.1 0.9997 0.3053504 0.015274631 1.0
4 0.8 1.5 3.0 1.0 0.5 0.9997 0.21089028 0.012908891 1.0
5 0.8 1.5 3.0 1.0 1.0 0.9997 0.14481746 0.01033198 1.0
6 0.8 1.5 3.0 2.0 0.1 0.9997 0.3437904 0.013618344 2.0
7 0.8 1.5 3.0 2.0 0.5 0.9997 0.23281494 0.011618948 2.0
8 0.8 1.5 3.0 2.0 1.0 0.9997 0.16115259 0.011307238 2.0
9 0.8 1.5 3.0 3.0 0.1 0.9997 0.36713827 0.014517856 3.0
10 0.8 1.5 3.0 3.0 0.5 0.9997 0.23979144 0.014746999 3.0
11 0.8 1.5 3.0 3.0 1.0 0.9997 0.1626902 0.011369373 3.0
12 0.8 1.5 5.0 0.5 0.1 0.9997 0.2844428 0.00958135 0.5
13 0.8 1.5 5.0 0.5 0.5 0.9997 0.19863702 0.0080752075 0.5
14 0.8 1.5 5.0 0.5 1.0 0.9997 0.15302674 0.00897072 0.5
15 0.8 1.5 5.0 1.0 0.1 0.9997 0.32894 0.016945863 1.0
16 0.8 1.5 5.0 1.0 0.5 0.9997 0.23335128 0.008950335 1.0
17 0.8 1.5 5.0 1.0 1.0 0.9997 0.18167357 0.012250229 1.0
18 0.8 1.5 5.0 2.0 0.1 0.9997 0.37424916 0.019679472 2.0
19 0.8 1.5 5.0 2.0 0.5 0.9997 0.26728937 0.013383536 2.0
20 0.8 1.5 5.0 2.0 1.0 0.9997 0.20480417 0.011881465 2.0
21 0.8 1.5 5.0 3.0 0.1 0.9997 0.4031785 0.014739389 3.0
22 0.8 1.5 5.0 3.0 0.5 0.9997 0.2824133 0.013880849 3.0
23 0.8 1.5 5.0 3.0 1.0 0.9997 0.21284579 0.017283697 3.0
24 0.8 1.5 10.0 0.5 0.1 0.9997 0.30539674 0.014726139 0.5
25 0.8 1.5 10.0 0.5 0.5 0.9997 0.21923128 0.015091796 0.5
26 0.8 1.5 10.0 0.5 1.0 0.9997 0.18544261 0.00907822 0.5
27 0.8 1.5 10.0 1.0 0.1 0.9997 0.35880288 0.012147994 1.0
28 0.8 1.5 10.0 1.0 0.5 0.9997 0.2606204 0.008789365 1.0
29 0.8 1.5 10.0 1.0 1.0 0.9997 0.21835442 0.013905011 1.0
30 0.8 1.5 10.0 2.0 0.1 0.9997 0.4021742 0.010428333 2.0
31 0.8 1.5 10.0 2.0 0.5 0.9997 0.30467448 0.0124116475 2.0
32 0.8 1.5 10.0 2.0 1.0 0.9997 0.25841826 0.013098925 2.0
33 0.8 1.5 10.0 3.0 0.1 0.9997 0.43685886 0.00994294 3.0
34 0.8 1.5 10.0 3.0 0.5 0.9997 0.32755193 0.01768731 3.0
35 0.8 1.5 10.0 3.0 1.0 0.9997 0.2742328 0.018438255 3.0
36 0.8 1.5 20.0 0.5 0.1 0.9997 0.32541594 0.014508063 0.5
37 0.8 1.5 20.0 0.5 0.5 0.9997 0.24085322 0.016170632 0.5
38 0.8 1.5 20.0 0.5 1.0 0.9997 0.20640281 0.01604848 0.5
39 0.8 1.5 20.0 1.0 0.1 0.9997 0.3773236 0.015229702 1.0
40 0.8 1.5 20.0 1.0 0.5 0.9997 0.2801902 0.018842738 1.0
41 0.8 1.5 20.0 1.0 1.0 0.9997 0.24455221 0.017128738 1.0
42 0.8 1.5 20.0 2.0 0.1 0.9997 0.42741176 0.017403439 2.0
43 0.8 1.5 20.0 2.0 0.5 0.9997 0.32586125 0.019140318 2.0
44 0.8 1.5 20.0 2.0 1.0 0.9997 0.28983372 0.009579581 2.0
45 0.8 1.5 20.0 3.0 0.1 0.9997 0.46792993 0.014044699 3.0
46 0.8 1.5 20.0 3.0 0.5 0.9997 0.35956514 0.017426802 3.0
47 0.8 1.5 20.0 3.0 1.0 0.9997 0.3124294 0.012836585 3.0
48 0.8 1.5 30.0 0.5 0.1 0.9997 0.35127512 0.009900872 0.5
49 0.8 1.5 30.0 0.5 0.5 0.9997 0.2525552 0.014397238 0.5
50 0.8 1.5 30.0 0.5 1.0 0.9997 0.2159905 0.014148797 0.5
51 0.8 1.5 30.0 1.0 0.1 0.9997 0.39202282 0.016630355 1.0
52 0.8 1.5 30.0 1.0 0.5 0.9997 0.2881245 0.021346046 1.0
53 0.8 1.5 30.0 1.0 1.0 0.9997 0.25095046 0.018594842 1.0
54 0.8 1.5 30.0 2.0 0.1 0.9997 0.441375 0.016604912 2.0
55 0.8 1.5 30.0 2.0 0.5 0.9997 0.33201322 0.01701021 2.0
