 m log_g n_obs baseline sigma_obs threshold TP dt_yrs
0 0.8 1.5 3.0 0.5 0.1 0.9997 0.0 0.5
1 0.8 1.5 3.0 0.5 0.5 0.9997 0.0 0.5
2 0.8 1.5 3.0 0.5 1.0 0.9997 0.0 0.5
3 0.8 1.5 3.0 1.0 0.1 0.9997 0.0 1.0
4 0.8 1.5 3.0 1.0 0.5 0.9997 0.0 1.0
5 0.8 1.5 3.0 1.0 1.0 0.9997 0.0 1.0
6 0.8 1.5 3.0 2.0 0.1 0.9997 0.0 2.0
7 0.8 1.5 3.0 2.0 0.5 0.9997 0.0 2.0
8 0.8 1.5 3.0 2.0 1.0 0.9997 0.0 2.0
9 0.8 1.5 3.0 3.0 0.1 0.9997 0.0 3.0
10 0.8 1.5 3.0 3.0 0.5 0.9997 0.0 3.0
11 0.8 1.5 3.0 3.0 1.0 0.9997 0.0 3.0
12 0.8 1.5 5.0 0.5 0.1 0.9997 0.0 0.5
13 0.8 1.5 5.0 0.5 0.5 0.9997 0.0 0.5
14 0.8 1.5 5.0 0.5 1.0 0.9997 0.0 0.5
15 0.8 1.5 5.0 1.0 0.1 0.9997 0.0 1.0
16 0.8 1.5 5.0 1.0 0.5 0.9997 0.0 1.0
17 0.8 1.5 5.0 1.0 1.0 0.9997 0.0 1.0
18 0.8 1.5 5.0 2.0 0.1 0.9997 0.0 2.0
19 0.8 1.5 5.0 2.0 0.5 0.9997 0.0 2.0
20 0.8 1.5 5.0 2.0 1.0 0.9997 0.0 2.0
21 0.8 1.5 5.0 3.0 0.1 0.9997 0.0 3.0
22 0.8 1.5 5.0 3.0 0.5 0.9997 0.0 3.0
23 0.8 1.5 5.0 3.0 1.0 0.9997 0.0 3.0
24 0.8 1.5 10.0 0.5 0.1 0.9997 0.0 0.5
25 0.8 1.5 10.0 0.5 0.5 0.9997 0.0 0.5
26 0.8 1.5 10.0 0.5 1.0 0.9997 0.0 0.5
27 0.8 1.5 10.0 1.0 0.1 0.9997 0.0 1.0
28 0.8 1.5 10.0 1.0 0.5 0.9997 0.0 1.0
29 0.8 1.5 10.0 1.0 1.0 0.9997 0.0 1.0
30 0.8 1.5 10.0 2.0 0.1 0.9997 0.0 2.0
31 0.8 1.5 10.0 2.0 0.5 0.9997 0.0 2.0
32 0.8 1.5 10.0 2.0 1.0 0.9997 0.0 2.0
33 0.8 1.5 10.0 3.0 0.1 0.9997 0.0 3.0
34 0.8 1.5 10.0 3.0 0.5 0.9997 0.0 3.0
35 0.8 1.5 10.0 3.0 1.0 0.9997 0.0 3.0
36 0.8 1.5 20.0 0.5 0.1 0.9997 0.0 0.5
37 0.8 1.5 20.0 0.5 0.5 0.9997 0.0 0.5
38 0.8 1.5 20.0 0.5 1.0 0.9997 0.0 0.5
39 0.8 1.5 20.0 1.0 0.1 0.9997 0.0 1.0
40 0.8 1.5 20.0 1.0 0.5 0.9997 0.0 1.0
41 0.8 1.5 20.0 1.0 1.0 0.9997 0.0 1.0
42 0.8 1.5 20.0 2.0 0.1 0.9997 0.0 2.0
43 0.8 1.5 20.0 2.0 0.5 0.9997 0.0 2.0
44 0.8 1.5 20.0 2.0 1.0 0.9997 0.0 2.0
45 0.8 1.5 20.0 3.0 0.1 0.9997 0.0 3.0
46 0.8 1.5 20.0 3.0 0.5 0.9997 0.0 3.0
47 0.8 1.5 20.0 3.0 1.0 0.9997 0.0 3.0
48 0.8 1.5 30.0 0.5 0.1 0.9997 0.0 0.5
49 0.8 1.5 30.0 0.5 0.5 0.9997 0.0 0.5
50 0.8 1.5 30.0 0.5 1.0 0.9997 0.0 0.5
51 0.8 1.5 30.0 1.0 0.1 0.9997 0.0 1.0
52 0.8 1.5 30.0 1.0 0.5 0.9997 0.0 1.0
53 0.8 1.5 30.0 1.0 1.0 0.9997 0.0 1.0
54 0.8 1.5 30.0 2.0 0.1 0.9997 0.0 2.0
55 0.8 1.5 30.0 2.0 0.5 0.9997 0.0 2.0
56 0.8 1.5 30.0 2.0 1.0 0.9997 0.0 2.0
57 0.8 1.5 30.0 3.0 0.1 0.9997 0.0 3.0
58 0.8 1.5 30.0 3.0 0.5 0.9997 0.0 3.0
59 0.8 1.5 30.0 3.0 1.0 0.9997 0.0 3.0
60 0.8 3.0 3.0 0.5 0.1 0.9997 0.0 0.5
61 0.8 3.0 3.0 0.5 0.5 0.9997 0.0 0.5
62 0.8 3.0 3.0 0.5 1.0 0.9997 0.0 0.5
63 0.8 3.0 3.0 1.0 0.1 0.9997 0.0 1.0
64 0.8 3.0 3.0 1.0 0.5 0.9997 0.0 1.0
65 0.8 3.0 3.0 1.0 1.0 0.9997 0.0 1.0
66 0.8 3.0 3.0 2.0 0.1 0.9997 0.0 2.0
67 0.8 3.0 3.0 2.0 0.5 0.9997 0.0 2.0
68 0.8 3.0 3.0 2.0 1.0 0.9997 0.0 2.0
69 0.8 3.0 3.0 3.0 0.1 0.9997 0.0 3.0
70 0.8 3.0 3.0 3.0 0.5 0.9997 0.0 3.0
71 0.8 3.0 3.0 3.0 1.0 0.9997 0.0 3.0
72 0.8 3.0 5.0 0.5 0.1 0.9997 0.0 0.5
73 0.8 3.0 5.0 0.5 0.5 0.9997 0.0 0.5
74 0.8 3.0 5.0 0.5 1.0 0.9997 0.0 0.5
75 0.8 3.0 5.0 1.0 0.1 0.9997 0.0 1.0
76 0.8 3.0 5.0 1.0 0.5 0.9997 0.0 1.0
77 0.8 3.0 5.0 1.0 1.0 0.9997 0.0 1.0
78 0.8 3.0 5.0 2.0 0.1 0.9997 0.0 2.0
79 0.8 3.0 5.0 2.0 0.5 0.9997 0.0 2.0
80 0.8 3.0 5.0 2.0 1.0 0.9997 0.0 2.0
81 0.8 3.0 5.0 3.0 0.1 0.9997 0.0 3.0
82 0.8 3.0 5.0 3.0 0.5 0.9997 0.0 3.0
